iter	Accuracy	Logloss
0	0.7604485219	0.637965778
1	0.7920489297	0.5936370589
2	0.8002038736	0.5540054961
3	0.8032619776	0.5249827414
4	0.8093781855	0.5021653842
5	0.8185524975	0.4846585093
6	0.8165137615	0.4683063843
7	0.8226299694	0.4578596664
8	0.8256880734	0.4467761649
9	0.8256880734	0.4387445844
10	0.8287461774	0.4263522601
11	0.8267074414	0.4241088874
12	0.8236493374	0.4224035735
13	0.8267074414	0.4147356697
14	0.8246687054	0.4110675964
15	0.8256880734	0.4081307099
16	0.8277268094	0.4073975309
17	0.8307849134	0.4024872189
18	0.8307849134	0.3978061545
19	0.8307849134	0.3954278265
20	0.8328236493	0.3929189608
21	0.8348623853	0.3902352075
22	0.8379204893	0.3873524605
23	0.8409785933	0.3823273279
24	0.8399592253	0.3790569407
25	0.8399592253	0.3780758066
26	0.8399592253	0.3766228231
27	0.8419979613	0.3755850799
28	0.8419979613	0.3732460144
29	0.8419979613	0.3715075419
30	0.8430173293	0.3702282878
31	0.8450560652	0.367350692
32	0.8450560652	0.367350676
33	0.8430173293	0.3667346028
34	0.8460754332	0.3657895203
35	0.8450560652	0.3657133496
36	0.8460754332	0.3637196593
37	0.8450560652	0.3618686338
38	0.8450560652	0.3611052807
39	0.8470948012	0.3610028541
40	0.8491335372	0.3600657463
41	0.8521916412	0.3577233452
42	0.8521916412	0.356876515
43	0.8521916412	0.3567449772
44	0.8511722732	0.3534693523
45	0.8511722732	0.3533930051
46	0.8521916412	0.3526005903
47	0.8542303772	0.3504060219
48	0.8552497452	0.3502126782
49	0.8562691131	0.3488968409
50	0.8562691131	0.3486893507
51	0.8572884811	0.3474849521
52	0.8593272171	0.3461087432
53	0.8572884811	0.3458611258
54	0.8572884811	0.3447692492
55	0.8603465851	0.3428849968
56	0.8603465851	0.3425513286
57	0.8613659531	0.3413427108
