iter	Passed	Remaining
0	2	2907
1	6	3145
2	8	2937
3	24	6058
4	31	6265
5	41	6834
6	43	6105
7	44	5547
8	51	5625
9	54	5375
10	57	5130
11	58	4813
12	59	4504
13	61	4352
14	65	4279
15	70	4305
16	71	4131
17	73	4010
18	75	3887
19	76	3770
20	80	3770
21	86	3823
22	91	3871
23	101	4119
24	106	4140
25	110	4134
26	112	4060
27	118	4130
28	121	4077
29	127	4119
30	141	4414
31	147	4465
32	150	4411
33	152	4346
34	154	4266
35	156	4178
36	157	4109
37	161	4083
38	163	4025
39	165	3963
40	166	3905
41	168	3844
42	170	3789
43	171	3729
44	173	3689
45	175	3640
46	178	3623
47	180	3578
48	182	3539
49	184	3503
50	185	3446
51	186	3408
52	189	3378
53	191	3358
54	193	3323
55	200	3375
56	202	3355
57	207	3363
